ID_QUERY,Conceptual Evocation,WordNet Synset id,Term 1,Term 2,Term 3,Term…,,
1,Actor ,9784701,famous,movie,television,video,cinema,
2,Altitude,5138912,height,above,sea,fly,mountain,
3,Ambition,7499687,desire,fulfill,wish,,,
4,Apple,7755101,fruit,Newton,juice,,,
5,Apple ,7755101,fruit,green,round,juice,trees,
6,Armstrong,10842973,walk,space,moon,,,
7,Arrogant,1895886,behavior,important,higher,more,,
8,Avalanch ,7419737,snow,mountains,winter,falling,skiing,
9,Baby ,9846929,cry,milk,diaper,toy,human,
10,Baby Food ,X,smashed,vegetables,food,hungry,feed,
11,Bali ,8928282,surf,indonesia,tropical,beach,island,
12,Ball,2781674, round, play,sport,,,
13,Balloon ,2785352,Hot,air,helium,children,clown,latex
14,Bamboo ,12168056,china,plant,panda,asia,lucky,
15,Banana,7769568, fruit, monkey,yellow,,,
16,Banana,7769568, yellow, fruit, monkeys,,,
17,Banana,7769568,Fruit,Yellow,Phallic,Green,Monkey,
18,Baseball ,472688,sport,game,pastime,hitter,pitcher,
19,Basketball ,482004,sport,dribble,ball,lay-up,shoot,
20,Batman ,X,superhero,superman,comic book,gotham,cape,
21,Beach ,9240137,sand,water,surf,seagulls,waves,
22,Bedroom,2824762, sleep, room, house,,,
23,Bee,2209508,honey,insect,hive,sting,maya,
24,Beer,7902824,Liquid,Brand names,Drink,Refreshing,Alcohol,
25,Beyonce ,X,singer,survivor,destiny's child,artist,american,
26,Bird ,1505702,animal,feathers,sings,beak,wings,
27,Blanket ,2852392,warm,bed,sleep,cold,snow,
28,Blood,5407190, red, life, murder,,,
29,Blue,4976072, colors, sky, eyes,,,
30,Blue,4976072, colors, sky, eyes,sad,cold,
31,Book,6422547,page,chapter,read,novel,library,
32,Breakfast ,7590167,eat,coffee,tea,bread,cereals,
33,Brother,9895920, family, sister, boy,,,
34,Bus,2927500, transport, wheels, people,,,
35,Cameron Diaz ,X,mrs shrek,american,blonde,vanilla sky,legally blonde,
36,Candle ,2951508,wax,melts,flame,light,stick,
37,Cannon,2953692,heavy,gun,fire,metal balls,,
38,Car ,2961779,engine,vehicle,transportation,4 wheels,fast,
39,Car ,2961779,park,motor,drive,transport,garage,
40,Carpet ,4125115,floor,cover,rug,soft,wool,
41,Carrot,12958438, vegetable, orange, rabbits,,,
42,Cat ,2124272,dog,tail,mouse,pet,animal,
43,Cellar,2803656,room,under,store,wine,,
44,Chair,3005231,seat, Dining room, wood,,,
45,Chocolate,7939004,Cocoa,Milk,Bitter,Sweet,Creamy,
46,Christmas ,15221372,celebration,december,father,presents,tree,
47,Cinema,3036237,film,movie,screen,seat,row,
48,Circus ,8206141,ring,clown,tent,trapeze,elephant,
49,Clown,9950623,joker,circus,red nose,make up,,
50,Computer,3086983, mouse, internet, email,,,
51,Computer ,3086983,ibm,microsoft,internet,desktop,apple,
52,Conscious,1340720,notice,realize,aware,unconscious,concerned,
53,Cow ,2406106,black/white,milk,animal,farm,dairy,
54,Cramp,14383864,pain,muscle,move,stomach,,
55,Crisp ,7728304,crunch,sharp,cold,fresh,potato,
56,Crumble,2045722,break,stone,pieces,,,
57,Cry ,7135232,sad,tears,eye,hurt,water,
58,Cupid ,9583190,arrow,heart,valentine,february,love,
59,Currency ,13407086,money,exchange,dollar,bank,foreign,
60,Dart,3167484,move,direction,throw,game,board,
61,Decay,13477888,destroy,worse,decline,,,
62,Deodorant ,3181260,armpits,old spice,smell,stink,wear,
63,Diapers,3193215,cloth,wet,baby,change,poop,
64,Dinner ,7591291,food,evening,night,table,eat,
65,Dog,2086723, pet, cat, bark,,,
66,Dog ,2086723,bark,legs,pet,cat,animal,
67,Dolphin,2584588,ocean,swim,animal,fish,friendly,
68,Domestic,10043844,international,flight,airport,airplane,plane,
69,Donkey ,2392211,shrek,jack ass,mule,horse,animal,
70,Door ,3226423,enter,house,walk,square,handle,
71,Door ,3226423,house,exit,out,entrance,go,
72,Dress,3241438, girl, wear, clothes,,,
73,Droplets,13793968,small,drop,liquid,water,,
74,Education ,884975,school,degree,diploma,classroom,learn,
75,Elephant,2506148, animal, grey, Africa,,,
76,Eliminate,472642,get rid of,unwanted,need,unnecessary,,
77,Expand,2081395,large,size,number,company,increase,
78,Explicable,942070,understand,explain,easy,,,
79,Eyeglasses ,3788963,lens,glass,eye,head,see,
80,Ferrari,X,red, car, italy,,,
81,Fire,7317454, hot, burning, red, lighter, element,
82,Fire ,7317454,hot,burns,dangerous,red,smoke,
83,Fire Truck ,3350333,red,siren,emergency,hose,flame,
84,Floss ,3180509,dentist,string,teeth,brush,mouth,
85,Flying Saucer ,5906432,ufo,alien,night,lights,space,
86,Fog ,11478731,cloud,snow,rain,clear,dust,
87,Foot,5570899,shoe,sock,toes,smell,body,
88,Frog ,1642406,green,slimy,hops,animal,tree,
89,Frustration,7556254,feeling,annoyance,sense,upset,,
90,Ghost ,9569105,night,white sheet,scared,dead,live,
91,Giraffe ,2441664,animal,tall,brown,spots,africa,
92,God,9559169, Allah, HaShem, Brahma,,,
93,Grass ,12122650,green,yard,lawn,garden,park,
94,Gravity,11484542,fall,ground,force,attract,,
95,Gun ,3472916,kill,shoot,bullet,weapon,pistol,
96,Hair,5262259, ponytail, head, curly, cut, brush,
97,Happy ,1151786,sad,good,joy,present,smile,
98,Heart ,5396148,blood,muscle,pump,organ,artery,
99,Hero ,10344679,admire,saves,sports,life,brave,
100,Hip Hop ,8306203,rapper,music,black,slang,artist,
101,Holiday,15162842,sun,beach,free,Summer,school,
102,House ,3549540,roof,live,food,warmth,protection,
103,Hulk,10148670, green, hero, angry,,,
104,Iceberg ,9331478,penguin,seals,antarctica,titanic,ice,
105,Idol ,3565341,american,celebrity,famous,example,admire,
106,Indicate,923271,show,true,situation,,,
107,Inflate,264920,fill,air,larger,important,increase,
108,Island ,9339360,sea,ocean,water,land,bali,
109,Jam ,7658542,fruit,traffic,play,strawberry,toast,
110,Joke ,6790941,tell,laugh,funny,story,smile,
111,Jump ,120388,hop,skip,leap,high,basketball,
112,June,15236602, month, sixth, summer,,,
113,Ketchup,7838173,tomato,sauce,red,bottle,,
114,Bedroom,2824762,sleep,room,house,,,
115,Ladder,3637568,equipment,climb,high,level,up,down
116,Lemon,7765558,fruit, yellow, acid,,,
117,Lipstick,3681809,red,lips,women,beautiful,,
118,Literal,918097,meaning,word,original,basic,literature,
119,Lizard ,1677105,scales,reptile,crawl,animal,,
120,Lollipop ,7623214,candy,sweet,lick,stick,strawberry,
121,London,8893849, city, UK, capital,,,
122,Love ,7558676,care,feeling,heart,red,fun,
123,Luggage ,2777635,bag,travel,carry,clothes,baggage,
124,Mammal,1864419,human,pig,bat,cow,,
125,Marry,2494483,wedding,ring,groom,bride,cake,
126,Meteor,9376006,rock,space,sky,bright,,
127,Methane,14975368, gas, poo, energy, pig,,
128,Molecule,14706294,smallest,unit,chemical,atom,,
129,Mother,10352098,woman,house wife,parent,children,father,
130,Motion,7324399,process,movement,direction,,,
131,Motorcycle,3796045,helmet,drive,yamaha,honda,harley,
132,Mountain ,9382700,peak,high,ski,climb,volcano,
133,Mouth,5309998, speak, body, face,,,
134,Music ,7034009,notes,sound,hear,band,rock,
135,Neighbor ,10372030,house,street,live,person,,
136,New Year ,15207154,celebration,fun,drink,party,happy,
137,Number ,6820056,1,2,3,4,5,
138,Obama,10895767,president,United states,black,,,
139,Out ,X,in,doors,exit,leave,go,
141,Pencil,3914323, write, notebook, pen,,,
142,Pencil ,3914323,eraser,pen,ink,paper,school,
143,Perfume ,5722413,smell,wear,flowers,girls,nose,
144,Person ,7846,somebody,place,thing,who,people,
145,Pharmacy ,3254045,drug,medicine,sick,ill,hospital,
146,Phone,4408223, talk, friend, object,,,
147,Photo ,3931348,picture,camera,pose,click,pixel,
148,Photography ,3931348,photo,job,model,lens,camera,
149,Piano ,3934354,fingers,wood,school,keys,instrument,
150,Pillow ,3944520,sleep,bed,head,tired,night,
151,Pizza,7889783, food, italy, round, tomato,,
152,Pop Music ,7074002,singer,band,radio,charts,cd,
153,Postman ,10302734,letters,post office,round,door,public,
154,Potato,7726361,vegetable,french fries,eat,mash,chips,
155,Power Button ,X,on,off,remote control,tv,red,
156,Pretty,221674,Julia Roberts,beautiful,girl,attractive,Richard Gere,
157,Queen ,10518940,royal,king,country,lady,crown,
158,Rabbit ,2326697,hole,foot,bunny,carrot,animal,
159,Rachmaninoff,11271521, romantic, russian, etudes-tableaux, piano, composed,
160,Rain,11521799,precipitation,water,sky,wet,drops,
161,Red ,4969961,colour,tomato,communist,danger,stop,
162,Reporter,10541255,person,news,write,newspaper,tv,
163,Ribs ,4094238,chest,flat,lungs,heart,bone,
164,Rich ,8196373,money,millionaire,expensive,cash,bank,
165,Ring ,3539152,gold,wear,wedding,engagement,accessories,
166,Rotate,2048992,trun,movement,circular,,,
167,Salmon,2537365, fish, canada, bear,,,
168,Sceptical,2473075,disagree,opinion,,,,
169,School,8293641, place, study, teacher,,,
170,Seat Belts ,4169767,safety,car,bus,fasten,police,
171,Shower Curtain ,4216306,shower,curtain,bath,water,bathroom,
172,Skateboard ,4233049,wheels,tricks,deck,ramps,tricks,
173,Sleep ,14048353,tired,bed,night,exhausted,awake,
174,Sofa,4263630,sit,living room,tv,furniture,relax,
175,Spiderman ,X,peter parker,web,wall crawler,bite,mary jane,
176,Spin,7456888,turn,around,,,,
177,Stationers,10672142,shop,sell,stationery,pen,pencil,
178,Stem,13149924,plant,flower,pipe,,,
179,Street,4341737,road,pavement,drive,traffic,highway,
180,Stupide,10686626,i'm with,smart,dumb,challenge,school,
181,Suffer,2113644,pain,experience,unpleasant,tears,,
182,Summer,15262047, hot, beach, ice-cream,,,
183,Sun,9473312, star, burning, sky, yellow, hot, tanned
184,Sun ,9473312,moon,light,hot,shine,bright,
185,Sunny,365018,bright,morning,Summer,Day,Yellow,
186,Swarm,8201135,group,insects,bee,move,together,
187,Swimming-Pool,4378312,water,summer,slide,bath,,
188,Switzerland ,9054023,cheese,chocolate,mountain,alp,cuckoo clock,
189,Symbolize,837915,symbol,represent,,,,
190,Table,4386330,room,dish,furniture,wood,chair,
191,Taboo ,X,words,game,now,describe,card,
192,Tank,4396120,container,store,vehicule,,,
193,Teacher,10713754, school, class, teach,,,
194,Tedious,1348155,boring,interesting,long,activity,,
195,Telepathy,7270666,ability,communication,thought,send,mind,
196,Television ,6287933,screen,programme,series,show,movies,
197,Tolerate,670017,criticize,accept,kind,say,,
198,Towel ,4466597,beach,bathtub,wet,dry,shower,
199,Transmit,975088,send,signal,radio,pass,,
200,Trap ,4481701,animal,catch,mouse,door,shut,
201,Tree ,13124818,leaves,branch,trunk,green,climb,
202,Tree ,13124818,plant,leaves,nature,leaf,branches,
203,Truck ,4497386,car,big,large,wheels,transport,
204,Underwear ,4516244,bra,clothes,lingerie,women,,
205,Uv ,11542373,ultra,violet,sun,ray,sun screen,
206,Vampire ,9567238,teeth,blood,coffin,dead,night,
207,Vapour,15080200,water,liquid,drop,air,float,
208,Violin,4544161,strings,orchestra,music,instrument,wood,
209,Virus,1331343,email,flue,internet,dangerous,sick,
210,Volcano ,9493680,lava,mountain,hot,fire,ash,
211,Water,14869913, liquid, blue, drink, refreshing, swim,
212,Water bottle ,4564934,school,drink,water,fill,store,
213,Website ,6370600,computer,online,.com .org etc,link,internet,
214,Window,4594951, open, glass, room,,,
215,Window,4594951,Air,Breeze,Gust,Blow,Move,
216,Wobbly,2300529,unsteadily,moving,weak,unbalanced,,
217,Wrench ,4613932,tool,toolbox,screwdriver,screw,bolt,
218,X-Men ,X,marvel superheroes,wolverine,cartoons,movie,mutant,
219,X-Ray ,11547628,radiology,picture,bones,see through,hospital,
220,Feline,2123649,cat,tiger,lion,panther,,
221,Vehicle,4531608,car,bus,boat,plane,,
222,Human,2474924,man,woman,,,,
223,Device,3187746,laptop,phone,television,,,
224,Fish,2514684,shark,dolphin,coelacanth,,,
225,Team sport,889222,soccer,basketball,handball,baseball,,
226,Container,3099154,Glass,bowl,mug,bottle,,
227,President,10486745,Obama,Trump,Lincoln,,,
228,Dictator,10031556,Hilter,Staline,Mussolini,Gaddafi,,
229,Measure,7275291,bit,meter,yard,celsius,,
230,Basketball player,9861435,Jordan,Bryant,Iverson,Mutombo,,
231,Religion,8098545,Christianity,Islam,Judaism,Buddhism,,
232,Europe,8190414,France,Germany,Spain,Italy,,
233,Operating systems,6580310,Linux,Mac OS,Windows,AmigaOS,,
234,Currency,13407086,Dollar,Euro,Pound,,,
235,Color,4963771,Red,Yellow,Blue,,,
236,Water,14869913,Ice,drink,rain,liquid,,
237,Asia,9230176,China,India,Indonesia,Pakistan,,
238,Internet,3585784,website,computer,network,,,
239,Planet,9416900,Earth,Jupiter,Mars,Neptune,Venus,
240,Pianist,10450429,Chopin,Beethoven,Mozart,Rachmaninoff,,
241,Guitarist,10171280,Hendrix,Clapton,Van Halen,B. B. King,Santana,
242,Soccer Player,10637858,Messi,Ronaldo,Pelé,Zidane,,
243,South America,8190188,Brazil,Argentina,Chile,Peru,,
244,Number ,13603216,1,10,3,15,,
245,stimulant,4327264,Coffee,tea,cocaine,guarana,,
246,alcohol,7900542,whiskey,vodka,gin,wine,,
247,sun,9473312,yellow,fire,round,star,,
248,moon,9381255,satellite,earth,round,,,
249,apollo,X,Armstrong,Moon,program,11,,
250,Queen ,10518940,king,wife,women,,,
251,Ocean,9399110,Atlantic,Pacific,Artic,Indian,Southern,
252,Captain,9912283,Drake,Morgan,Blackbeard,Cook,Nelson,
253,Island ,9339360,Hawaii,Australia,Bahamas,Cuba,,
254,Volcanoes,9495727,Krakatoa,Etna,St. Helens,Eyjafjallajökull,,
255,Mountains,9382700,Everest,Kilimanjaro,K2,Mont Blanc,,
256,Newspapers,6277798,The Independent,The Guardian The New York Times,,The Observer,,
257,States,8671935,Froride,Texas ,California,Colorado,,
258,bird,1505702,Parrot,owl,Pigeons,Flaminguos,,
259,Mathematician,10320928,Euclid,Gauss,Hilbert,Fermat,,
260,Physicists,10447768,Einstein,Hawking,Newton,Galilei,,
